Sub-Category,TotalSales,AverageOrderValue,Volatility,YoYGrowth,OrderCount,Cluster,PC1,PC2
Bookcases,113813.19870000001,503.59822433628324,2220.405079725175,23.806516259103613,226,0,0.015687343538275476,-0.5887945124868733
Chairs,322822.731,531.8331647446458,4407.23295981141,7.135789951209725,607,2,1.7179362810750907,1.3003072950915366
Labels,12347.726,34.587467787114846,223.47121839221342,12.192650684234545,357,0,-1.736790394770062,-0.6086556994353454
Tables,202810.628,645.8937197452229,3224.0825044607163,16.410685246324878,314,2,0.9198446453531858,0.04286901708879085
Storage,219343.392,263.6338846153846,2822.0843101166624,13.179873437023968,832,2,0.28991100064295316,1.1389015732226522
Furnishings,89212.018,95.82386466165413,1360.0178672616057,28.78893806111394,931,0,-1.068629817950449,0.49985885956862364
Art,26705.41,34.019630573248406,330.4883427284576,16.605553026749924,785,0,-1.7786552168707932,0.09004679340641081
Phones,327782.448,374.1808767123287,4052.7182205208205,12.340878459166033,876,2,1.3682467645044973,1.7431922942325688
Binders,200028.785,134.0675502680965,3848.2236478754903,21.87360669860654,1492,2,0.21400189524663282,2.113614366532333
Appliances,104618.40299999999,227.92680392156862,1821.6215390281989,39.92758418197722,459,0,-0.5061335435405909,-0.34288477116328675
Paper,76828.304,57.42025710014948,1024.8249818349855,25.41307360390605,1338,0,-1.4447170446041828,1.1245712891857156
Accessories,164186.7,217.17817460317463,2579.9948090711305,37.638071385980304,756,2,-0.055667916804376605,0.4816488206253922
Envelopes,16128.045999999998,65.03244354838709,228.21868781596007,-2.7666432997654145,248,0,-1.6672165955350797,-0.6018101242007294
Fasteners,3001.96,14.02785046728972,48.74222863268981,15.703382899686266,214,0,-1.8095306501643391,-0.920138074306276
Supplies,46420.30799999999,252.2842826086956,2025.094138915901,192.84484275895372,184,3,-0.38569615989446376,-2.849454284625196
Machines,189238.63100000002,1645.5533130434785,5603.5547467397955,8.006000579367448,115,1,2.7522722962346293,-0.58027657532306
Copiers,146248.09399999998,2215.880212121212,5500.774390527093,84.6718189338513,66,1,3.1751371135390722,-2.042996267413258
